"","District","Name","TEA","NCES","Charter","All.Math","All.Reading","Econ_Dis.Math","Econ_Dis.Reading","Female.Math","Female.Reading","Male.Math","Male.Reading","At_Risk.Math","At_Risk.Reading","Special.Math","Special.Reading"
"261",95901,"ABERNATHY ISD","H","31","N","64","47","43","25","64","52","65","44","36","20","33","17"
"262",95905,"PLAINVIEW ISD","E","33","N","34","28","32","23","32","28","37","28","17","10","28","24"
"263",97902,"HAMILTON ISD","H","33","N","41","39","29","24","48","52","37","30","27","13","8","17"
"264",100904,"SILSBEE ISD","E","31","N","61","52","54","42","61","56","62","47","43","33","45","32"
"265",100905,"HARDIN-JEFFERSON ISD","D","42","N","54","53","39","39","47","50","62","56","35","37","44","31"
"266",100907,"LUMBERTON ISD","D","22","N","49","53","38","44","45","51","52","54","25","37","14","19"
"267",101802,"SER-NINOS CHARTER SCHOOL","I","11","Y","38","46","38","47","40","54","37","40","38","46","30","20"
"268",101803,"ARISTOI CLASSICAL ACADEMY","I","21","Y","43","55","39","43","38","63","48","48","18","29","25","38"
"269",101814,"THE VARNETT PUBLIC SCHOOL","I","11","Y","32","25","35","28","29","24","34","25","32","23","8","8"
"270",101828,"HOUSTON GATEWAY ACADEMY INC","I","11","Y","75","65","92","67","76","72","75","58","75","65","44","33"
"271",101838,"SOUTHWEST SCHOOL","I","11","Y","49","52","50","53","53","60","46","46","48","52","24","6"
