"","District","Name","TEA","NCES","Charter","Student_Population","Subject","Score"
"339",14906,"KILLEEN ISD","C","12","N","Econ_Dis","Math","45"
"340",14906,"KILLEEN ISD","C","12","N","Econ_Dis","Reading","34"
"341",14906,"KILLEEN ISD","C","12","N","Female","Math","49"
"342",14906,"KILLEEN ISD","C","12","N","Female","Reading","45"
"343",14906,"KILLEEN ISD","C","12","N","Male","Math","52"
"344",14906,"KILLEEN ISD","C","12","N","Male","Reading","36"
"345",14906,"KILLEEN ISD","C","12","N","At_Risk","Math","27"
"346",14906,"KILLEEN ISD","C","12","N","At_Risk","Reading","18"
"347",14906,"KILLEEN ISD","C","12","N","Special","Math","33"
"348",14906,"KILLEEN ISD","C","12","N","Special","Reading","24"
"349",14908,"SALADO ISD","D","42","N","All","Math","49"
"350",14908,"SALADO ISD","D","42","N","All","Reading","49"
"351",14908,"SALADO ISD","D","42","N","Econ_Dis","Math","37"
"352",14908,"SALADO ISD","D","42","N","Econ_Dis","Reading","41"
"353",14908,"SALADO ISD","D","42","N","Female","Math","51"
"354",14908,"SALADO ISD","D","42","N","Female","Reading","53"
"355",14908,"SALADO ISD","D","42","N","Male","Math","48"
"356",14908,"SALADO ISD","D","42","N","Male","Reading","46"
"357",14908,"SALADO ISD","D","42","N","At_Risk","Math","15"
"358",14908,"SALADO ISD","D","42","N","At_Risk","Reading","11"
"359",14908,"SALADO ISD","D","42","N","Special","Math","18"
"360",14908,"SALADO ISD","D","42","N","Special","Reading","24"
"361",14909,"TEMPLE ISD","D","13","N","All","Math","38"
"362",14909,"TEMPLE ISD","D","13","N","All","Reading","33"
"363",14909,"TEMPLE ISD","D","13","N","Econ_Dis","Math","34"
"364",14909,"TEMPLE ISD","D","13","N","Econ_Dis","Reading","27"
"365",14909,"TEMPLE ISD","D","13","N","Female","Math","38"
"366",14909,"TEMPLE ISD","D","13","N","Female","Reading","34"
"367",14909,"TEMPLE ISD","D","13","N","Male","Math","39"
"368",14909,"TEMPLE ISD","D","13","N","Male","Reading","32"
"369",14909,"TEMPLE ISD","D","13","N","At_Risk","Math","26"
"370",14909,"TEMPLE ISD","D","13","N","At_Risk","Reading","20"
"371",14909,"TEMPLE ISD","D","13","N","Special","Math","23"
"372",14909,"TEMPLE ISD","D","13","N","Special","Reading","26"
"373",14910,"TROY ISD","G","41","N","All","Math","46"
"374",14910,"TROY ISD","G","41","N","All","Reading","35"
"375",14910,"TROY ISD","G","41","N","Econ_Dis","Math","43"
"376",14910,"TROY ISD","G","41","N","Econ_Dis","Reading","30"
"377",14910,"TROY ISD","G","41","N","Female","Math","45"
"378",14910,"TROY ISD","G","41","N","Female","Reading","38"
"379",14910,"TROY ISD","G","41","N","Male","Math","46"
"380",14910,"TROY ISD","G","41","N","Male","Reading","32"
"381",14910,"TROY ISD","G","41","N","At_Risk","Math","26"
"382",14910,"TROY ISD","G","41","N","At_Risk","Reading","16"
"383",14910,"TROY ISD","G","41","N","Special","Math","50"
"384",14910,"TROY ISD","G","41","N","Special","Reading","56"
"385",15802,"GEORGE GERVIN ACADEMY","I","11","Y","All","Math","39"
"386",15802,"GEORGE GERVIN ACADEMY","I","11","Y","All","Reading","35"
"387",15802,"GEORGE GERVIN ACADEMY","I","11","Y","Econ_Dis","Math","39"
"388",15802,"GEORGE GERVIN ACADEMY","I","11","Y","Econ_Dis","Reading","35"
"389",15802,"GEORGE GERVIN ACADEMY","I","11","Y","Female","Math","31"
"390",15802,"GEORGE GERVIN ACADEMY","I","11","Y","Female","Reading","38"
"391",15802,"GEORGE GERVIN ACADEMY","I","11","Y","Male","Math","44"
"392",15802,"GEORGE GERVIN ACADEMY","I","11","Y","Male","Reading","33"
"393",15802,"GEORGE GERVIN ACADEMY","I","11","Y","At_Risk","Math","39"
"394",15802,"GEORGE GERVIN ACADEMY","I","11","Y","At_Risk","Reading","35"
"395",15802,"GEORGE GERVIN ACADEMY","I","11","Y","Special","Math","33"
"396",15802,"GEORGE GERVIN ACADEMY","I","11","Y","Special","Reading","33"
"397",15805,"NEW FRONTIERS PUBLIC SCHOOLS INC","I","11","Y","All","Math","15"
"398",15805,"NEW FRONTIERS PUBLIC SCHOOLS INC","I","11","Y","All","Reading","21"
"399",15805,"NEW FRONTIERS PUBLIC SCHOOLS INC","I","11","Y","Econ_Dis","Math","16"
"400",15805,"NEW FRONTIERS PUBLIC SCHOOLS INC","I","11","Y","Econ_Dis","Reading","22"
"401",15805,"NEW FRONTIERS PUBLIC SCHOOLS INC","I","11","Y","Female","Math","15"
"402",15805,"NEW FRONTIERS PUBLIC SCHOOLS INC","I","11","Y","Female","Reading","15"
"403",15805,"NEW FRONTIERS PUBLIC SCHOOLS INC","I","11","Y","Male","Math","15"
