DISTRICT,DD003AMA1219R,DD003ARE1219R,DD203AMA1219R,DD203ARE1219R,DD303AMA1219R,DD303ARE1219R,DD403AMA1219R,DD403ARE1219R,DDA03AMA1219R,DDA03ARE1219R,DDB03AMA1219R,DDB03ARE1219R,DDE03AMA1219R,DDE03ARE1219R,DDF03AMA1219R,DDF03ARE1219R,DDH03AMA1219R,DDH03ARE1219R,DDI03AMA1219R,DDI03ARE1219R,DDL03AMA1219R,DDL03ARE1219R,DDM03AMA1219R,DDM03ARE1219R,DDR03AMA1219R,DDR03ARE1219R,DDS03AMA1219R,DDS03ARE1219R,DDW03AMA1219R,DDW03ARE1219R,DNC03AMA1219R,DNC03ARE1219R,DNM03AMA1219R,DNM03ARE1219R,DNS03AMA1219R,DNS03ARE1219R
'015809,50,17,.,.,.,.,.,.,30,13,-1,-1,32,14,20,10,33,14,.,.,50,17,38,15,30,13,-1,-1,.,.,30,15,-1,-1,.,.
'015814,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015815,-1,-1,-1,-1,.,.,.,.,14,9,29,29,6,6,8,8,11,0,.,.,-1,-1,22,11,8,8,-1,-1,-1,-1,14,14,13,7,.,.
'015822,26,23,55,55,83,50,.,.,31,30,28,26,24,24,32,34,29,28,.,.,25,22,30,26,17,14,6,6,44,42,38,36,23,23,17,17
'015825,-1,-1,.,.,.,.,.,.,18,27,-1,-1,19,24,20,30,15,25,.,.,-1,-1,17,25,0,7,-1,-1,-1,-1,9,18,27,36,-1,-1
'015827,15,18,33,56,71,57,.,.,40,40,39,43,32,31,35,45,34,31,-1,-1,15,18,44,37,13,17,11,17,56,61,45,49,36,34,-1,-1
'015828,30,24,-1,-1,.,.,.,.,34,33,15,35,30,29,37,39,36,32,.,.,31,25,31,28,27,25,23,23,22,44,39,37,25,26,-1,-1
'015830,26,11,-1,-1,80,20,-1,-1,39,38,50,63,34,33,37,43,37,35,.,.,26,11,41,34,25,15,25,31,38,54,47,38,35,39,10,10
'015831,42,47,83,50,89,89,.,.,43,50,43,46,41,50,45,64,37,48,.,.,47,41,41,38,22,31,29,14,48,52,38,50,46,49,14,14
'015833,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015834,73,71,75,67,84,78,.,.,74,73,38,63,21,29,71,77,62,72,-1,-1,72,70,76,70,64,61,56,44,76,69,.,.,74,73,-1,-1
'015835,50,50,47,41,73,62,.,.,51,49,27,27,34,32,49,51,36,36,-1,-1,26,22,52,47,44,44,31,27,60,60,61,58,37,37,13,0
'015836,-1,-1,-1,-1,-1,-1,.,.,60,53,-1,-1,33,17,57,65,50,43,.,.,-1,-1,65,40,33,44,43,14,67,67,66,56,45,45,.,.
'015838,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015901,33,38,33,67,60,73,-1,-1,51,61,50,50,25,31,49,67,40,49,.,.,33,38,53,56,33,36,24,34,59,70,53,63,46,55,43,29
'015904,43,38,-1,-1,-1,-1,.,.,37,33,-1,-1,34,31,36,35,36,32,.,.,43,38,37,31,32,25,21,21,50,60,38,34,30,29,36,32
'015905,31,28,-1,-1,71,57,-1,-1,28,25,26,32,27,25,23,24,27,25,.,.,31,28,33,26,19,17,15,10,40,20,30,26,23,23,11,11
'015906,.,.,73,64,-1,-1,.,.,70,60,50,43,40,40,70,60,67,54,-1,-1,.,.,69,62,38,13,67,44,78,69,70,65,70,57,-1,-1
'015907,36,38,37,42,45,45,-1,-1,33,31,27,23,31,30,33,35,33,31,-1,-1,36,38,33,28,21,20,26,24,47,45,34,32,29,29,29,22
'015908,35,35,-1,-1,-1,-1,.,.,30,27,38,50,28,26,27,29,29,26,.,.,35,34,32,25,23,20,15,14,67,33,32,28,22,24,33,8
'015909,67,54,-1,-1,-1,-1,.,.,55,45,-1,-1,52,41,53,45,55,44,.,.,67,54,57,44,47,32,32,32,67,67,58,47,43,31,40,40
'015910,43,47,59,55,82,70,-1,-1,51,50,30,33,36,36,49,52,44,45,33,17,43,47,53,47,37,38,29,24,68,62,54,52,43,44,50,43
'015911,35,29,36,14,-1,-1,.,.,35,28,27,25,31,25,39,34,34,29,.,.,35,29,31,23,19,14,7,7,39,25,36,30,31,24,24,19
'015912,41,34,40,20,-1,-1,.,.,42,36,53,43,39,33,40,37,40,35,-1,-1,41,34,45,36,40,34,23,21,74,55,43,37,41,36,44,50
'015913,-1,-1,77,62,.,.,-1,-1,57,53,60,60,57,67,58,60,46,50,.,.,-1,-1,56,47,37,29,43,36,59,50,55,52,58,55,-1,-1
'015914,-1,-1,56,78,-1,-1,-1,-1,51,51,45,45,38,45,54,64,31,38,.,.,-1,-1,48,38,14,29,20,20,61,52,43,54,55,49,-1,-1
'015915,45,40,54,50,63,53,68,55,47,43,38,34,36,31,46,46,43,39,31,31,45,40,49,40,25,22,28,25,63,57,49,44,41,38,49,37
'015916,41,41,53,50,42,42,42,67,46,42,34,35,40,37,44,41,45,40,.,.,41,41,48,42,30,27,37,33,62,54,49,44,40,37,43,37
'015917,34,24,.,.,-1,-1,.,.,33,26,57,29,31,23,38,30,31,25,.,.,34,24,28,23,22,14,18,12,46,43,32,26,34,27,43,36
'016901,20,0,.,.,.,.,.,.,58,56,.,.,50,45,60,60,31,23,.,.,20,0,57,52,14,21,20,20,70,70,62,56,44,56,.,.
'016902,29,43,.,.,.,.,.,.,59,58,.,.,48,48,41,52,60,57,.,.,29,43,75,63,22,39,56,67,59,59,59,52,60,73,.,.
'017901,.,.,.,.,.,.,.,.,41,53,.,.,-1,-1,40,80,-1,-1,.,.,.,.,42,42,-1,-1,-1,-1,43,50,44,56,-1,-1,.,.
'018901,21,7,40,20,.,.,.,.,37,26,-1,-1,27,15,42,30,31,17,-1,-1,0,0,31,23,13,13,-1,-1,44,34,40,27,25,25,-1,-1
'018902,-1,-1,-1,-1,.,.,.,.,50,27,-1,-1,53,24,40,27,50,25,.,.,-1,-1,60,27,17,33,14,29,45,20,50,25,50,33,-1,-1
'018903,.,.,-1,-1,.,.,.,.,33,33,.,.,-1,-1,-1,-1,40,40,.,.,.,.,-1,-1,-1,-1,.,.,.,.,33,33,.,.,.,.
'018904,40,40,-1,-1,.,.,.,.,61,45,.,.,54,39,63,56,50,38,.,.,40,40,59,29,50,50,-1,-1,67,48,66,45,33,50,.,.
'018905,-1,-1,.,.,.,.,.,.,17,50,.,.,18,55,14,43,25,50,.,.,-1,-1,20,60,-1,-1,.,.,-1,-1,18,45,-1,-1,.,.
'018906,.,.,.,.,.,.,.,.,44,0,.,.,33,0,-1,-1,-1,-1,.,.,.,.,60,0,-1,-1,.,.,50,0,43,0,-1,-1,-1,-1
'018907,.,.,.,.,.,.,.,.,43,14,.,.,42,17,20,40,-1,-1,.,.,.,.,56,0,40,0,-1,-1,46,15,42,17,-1,-1,-1,-1
'018908,.,.,.,.,.,.,.,.,22,33,.,.,0,20,14,43,-1,-1,.,.,.,.,-1,-1,-1,-1,.,.,29,43,29,29,-1,-1,.,.
'019901,20,0,-1,-1,.,.,.,.,26,34,8,17,21,26,26,53,25,25,-1,-1,20,0,25,21,17,0,33,0,41,50,29,34,17,33,-1,-1
'019902,-1,-1,88,63,.,.,.,.,53,38,33,33,53,35,55,42,-1,-1,.,.,-1,-1,52,34,21,5,33,22,50,36,55,41,44,22,63,38
'019903,-1,-1,-1,-1,.,.,.,.,72,59,-1,-1,70,48,74,53,-1,-1,.,.,-1,-1,69,69,-1,-1,-1,-1,74,57,75,63,63,50,.,.
'019905,-1,-1,33,44,-1,-1,.,.,40,40,25,25,34,39,32,34,23,54,.,.,-1,-1,47,45,26,19,29,33,51,41,38,38,43,43,-1,-1
'019906,.,.,-1,-1,.,.,.,.,51,44,-1,-1,50,30,53,47,.,.,.,.,.,.,49,41,29,14,-1,-1,51,43,53,49,44,28,.,.
'019907,22,22,43,45,80,60,.,.,45,42,36,28,36,34,43,40,32,29,-1,-1,20,22,47,44,30,24,33,31,60,62,45,41,43,44,17,40
'019908,-1,-1,50,13,.,.,.,.,40,22,31,15,39,19,45,23,40,30,-1,-1,-1,-1,36,21,27,10,24,13,54,31,45,25,25,13,.,.
'019909,.,.,-1,-1,.,.,.,.,83,53,.,.,83,42,75,67,-1,-1,.,.,.,.,89,44,80,60,-1,-1,86,57,85,60,80,40,-1,-1
'019910,.,.,-1,-1,.,.,.,.,45,50,.,.,38,50,44,56,.,.,.,.,.,.,46,46,20,60,-1,-1,42,47,44,38,50,83,-1,-1
'019911,.,.,-1,-1,-1,-1,.,.,80,63,.,.,55,27,84,74,-1,-1,.,.,.,.,73,46,88,50,-1,-1,80,63,79,66,82,53,-1,-1
'019912,-1,-1,57,71,-1,-1,.,.,70,57,67,33,65,38,62,55,77,62,.,.,-1,-1,77,59,50,30,31,23,70,62,66,52,81,70,83,83
'019913,-1,-1,.,.,.,.,.,.,9,18,.,.,-1,-1,11,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,14,14,29,-1,-1,-1,-1
'019914,.,.,-1,-1,.,.,.,.,25,17,.,.,33,22,17,17,-1,-1,.,.,.,.,33,17,0,0,-1,-1,20,10,20,20,29,14,.,.
'020901,48,43,66,66,81,75,-1,-1,52,48,50,45,38,35,50,50,42,39,-1,-1,48,43,53,46,38,33,29,27,58,54,54,49,45,43,54,46
'020902,33,23,20,40,-1,-1,-1,-1,40,40,20,26,39,37,42,43,43,37,33,33,33,23,39,36,29,23,30,29,44,47,40,39,41,43,69,50
'020904,-1,-1,-1,-1,-1,-1,.,.,44,38,.,.,31,38,43,62,31,38,.,.,-1,-1,45,21,20,17,-1,-1,50,35,50,36,29,43,-1,-1
'020905,61,43,49,40,67,78,.,.,59,46,50,24,55,40,58,47,58,43,-1,-1,60,41,61,46,42,28,42,29,65,56,61,48,53,42,55,35
'020906,50,25,-1,-1,-1,-1,.,.,32,36,17,25,20,27,32,41,31,31,.,.,50,25,33,31,32,16,29,14,36,42,36,36,17,35,-1,-1
